,fund_code,trade_time,trade_date,price,avg_price,volume,amount,change,change_pct
0,510300,2026-01-07 09:30:00,2026-01-07,4.850,4.850,4498500,21817725,0.005999999999999339,0.12386457473161311
1,510300,2026-01-07 09:31:00,2026-01-07,4.852,4.851,23515350,114062295,0.008000000000000007,0.16515276630883582
2,510300,2026-01-07 09:32:00,2026-01-07,4.853,4.852,14183500,68840530,0.008999999999999453,0.18579686209742882
3,510300,2026-01-07 09:33:00,2026-01-07,4.851,4.851,9398600,45592790,0.006999999999999673,0.14450867052022445
4,510300,2026-01-07 09:34:00,2026-01-07,4.852,4.851,6352700,30819660,0.008000000000000007,0.16515276630883582
5,510300,2026-01-07 09:35:00,2026-01-07,4.849,4.851,5683200,27570020,0.004999999999999893,0.10322047894302008
6,510300,2026-01-07 09:36:00,2026-01-07,4.857,4.852,4629600,22473440,0.0129999999999999,0.2683732452518559
7,510300,2026-01-07 09:37:00,2026-01-07,4.864,4.853,11174600,54302530,0.019999999999999574,0.41288191577208033
8,510300,2026-01-07 09:38:00,2026-01-07,4.869,4.856,22765820,110791580,0.024999999999999467,0.5161023947151004
9,510300,2026-01-07 09:39:00,2026-01-07,4.871,4.859,26817000,130613930,0.027000000000000135,0.5573905862923232
10,510300,2026-01-07 09:40:00,2026-01-07,4.871,4.860,17693500,86185370,0.027000000000000135,0.5573905862923232
11,510300,2026-01-07 09:41:00,2026-01-07,4.874,4.861,12582600,61302950,0.02999999999999936,0.6193228736581206
12,510300,2026-01-07 09:42:00,2026-01-07,4.881,4.864,28380400,138490160,0.03699999999999992,0.7638315441783634
13,510300,2026-01-07 09:43:00,2026-01-07,4.879,4.865,15446100,75367290,0.034999999999999254,0.7225433526011407
14,510300,2026-01-07 09:44:00,2026-01-07,4.877,4.866,18863100,92000250,0.032999999999999474,0.6812551610239362
15,510300,2026-01-07 09:45:00,2026-01-07,4.883,4.867,16236000,79239060,0.0389999999999997,0.8051197357555677
16,510300,2026-01-07 09:46:00,2026-01-07,4.885,4.868,15106300,73775450,0.04099999999999948,0.846407927332772
17,510300,2026-01-07 09:47:00,2026-01-07,4.886,4.869,16633600,81258590,0.041999999999999815,0.8670520231213834
18,510300,2026-01-07 09:48:00,2026-01-07,4.884,4.870,5890400,28779480,0.040000000000000036,0.825763831544179
19,510300,2026-01-07 09:49:00,2026-01-07,4.886,4.870,8137100,39756600,0.041999999999999815,0.8670520231213834
20,510300,2026-01-07 09:50:00,2026-01-07,4.886,4.871,9514890,46489400,0.041999999999999815,0.8670520231213834
21,510300,2026-01-07 09:51:00,2026-01-07,4.890,4.872,16348900,79945200,0.045999999999999375,0.9496284062757921
22,510300,2026-01-07 09:52:00,2026-01-07,4.888,4.872,8423200,41179400,0.043999999999999595,0.9083402146985877
23,510300,2026-01-07 09:53:00,2026-01-07,4.893,4.873,13142100,64264100,0.04899999999999949,1.011560693641608
24,510300,2026-01-07 09:54:00,2026-01-07,4.890,4.874,16570400,81037400,0.045999999999999375,0.9496284062757921
25,510300,2026-01-07 09:55:00,2026-01-07,4.889,4.874,8575000,41916900,0.04499999999999993,0.9289843104871992
26,510300,2026-01-07 09:56:00,2026-01-07,4.888,4.874,4881900,23865700,0.043999999999999595,0.9083402146985877
27,510300,2026-01-07 09:57:00,2026-01-07,4.890,4.874,2250000,10999900,0.045999999999999375,0.9496284062757921
28,510300,2026-01-07 09:58:00,2026-01-07,4.889,4.875,8646400,42275300,0.04499999999999993,0.9289843104871992
29,510300,2026-01-07 09:59:00,2026-01-07,4.887,4.875,10749100,52553900,0.04299999999999926,0.8876961189099765
30,510300,2026-01-07 10:00:00,2026-01-07,4.881,4.875,5486900,26803500,0.03699999999999992,0.7638315441783634
31,510300,2026-01-07 10:01:00,2026-01-07,4.877,4.875,6936700,33844600,0.032999999999999474,0.6812551610239362
32,510300,2026-01-07 10:02:00,2026-01-07,4.882,4.875,9123200,44517700,0.03799999999999937,0.7844756399669562
33,510300,2026-01-07 10:03:00,2026-01-07,4.884,4.876,13611500,66489600,0.040000000000000036,0.825763831544179
34,510300,2026-01-07 10:04:00,2026-01-07,4.886,4.876,12668800,61884200,0.041999999999999815,0.8670520231213834
35,510300,2026-01-07 10:05:00,2026-01-07,4.888,4.876,6215500,30375000,0.043999999999999595,0.9083402146985877
36,510300,2026-01-07 10:06:00,2026-01-07,4.881,4.876,2860700,13971500,0.03699999999999992,0.7638315441783634
37,510300,2026-01-07 10:07:00,2026-01-07,4.882,4.876,7582500,37009100,0.03799999999999937,0.7844756399669562
38,510300,2026-01-07 10:08:00,2026-01-07,4.885,4.876,7293400,35615000,0.04099999999999948,0.846407927332772
39,510300,2026-01-07 10:09:00,2026-01-07,4.883,4.876,8049900,39322200,0.0389999999999997,0.8051197357555677
40,510300,2026-01-07 10:10:00,2026-01-07,4.881,4.877,6044000,29507600,0.03699999999999992,0.7638315441783634
41,510300,2026-01-07 10:11:00,2026-01-07,4.880,4.877,7109000,34688300,0.03599999999999959,0.743187448389752
42,510300,2026-01-07 10:12:00,2026-01-07,4.878,4.877,6997400,34139000,0.03399999999999981,0.7018992568125476
43,510300,2026-01-07 10:13:00,2026-01-07,4.878,4.877,17660800,86152500,0.03399999999999981,0.7018992568125476
44,510300,2026-01-07 10:14:00,2026-01-07,4.877,4.877,11645800,56796100,0.032999999999999474,0.6812551610239362
45,510300,2026-01-07 10:15:00,2026-01-07,4.878,4.877,9783300,47713400,0.03399999999999981,0.7018992568125476
46,510300,2026-01-07 10:16:00,2026-01-07,4.879,4.877,6214000,30310900,0.034999999999999254,0.7225433526011407
47,510300,2026-01-07 10:17:00,2026-01-07,4.881,4.877,8425000,41121700,0.03699999999999992,0.7638315441783634
48,510300,2026-01-07 10:18:00,2026-01-07,4.880,4.877,2969800,14491600,0.03599999999999959,0.743187448389752
49,510300,2026-01-07 10:19:00,2026-01-07,4.884,4.877,9110290,44475700,0.040000000000000036,0.825763831544179
50,510300,2026-01-07 10:20:00,2026-01-07,4.886,4.877,8754600,42763500,0.041999999999999815,0.8670520231213834
51,510300,2026-01-07 10:21:00,2026-01-07,4.889,4.877,9794700,47879400,0.04499999999999993,0.9289843104871992
52,510300,2026-01-07 10:22:00,2026-01-07,4.890,4.877,12990300,63517100,0.045999999999999375,0.9496284062757921
53,510300,2026-01-07 10:23:00,2026-01-07,4.891,4.878,9604600,46971600,0.04699999999999971,0.9702725020644035
54,510300,2026-01-07 10:24:00,2026-01-07,4.888,4.878,2441400,11939300,0.043999999999999595,0.9083402146985877
55,510300,2026-01-07 10:25:00,2026-01-07,4.890,4.878,1906000,9320000,0.045999999999999375,0.9496284062757921
56,510300,2026-01-07 10:26:00,2026-01-07,4.884,4.878,2273100,11110900,0.040000000000000036,0.825763831544179
57,510300,2026-01-07 10:27:00,2026-01-07,4.881,4.878,3767400,18395500,0.03699999999999992,0.7638315441783634
58,510300,2026-01-07 10:28:00,2026-01-07,4.880,4.878,3731200,18212000,0.03599999999999959,0.743187448389752
59,510300,2026-01-07 10:29:00,2026-01-07,4.884,4.878,1731900,8456200,0.040000000000000036,0.825763831544179
60,510300,2026-01-07 10:30:00,2026-01-07,4.885,4.878,2496600,12196000,0.04099999999999948,0.846407927332772
61,510300,2026-01-07 10:31:00,2026-01-07,4.886,4.878,1990600,9723400,0.041999999999999815,0.8670520231213834
62,510300,2026-01-07 10:32:00,2026-01-07,4.884,4.878,2039200,9962600,0.040000000000000036,0.825763831544179
63,510300,2026-01-07 10:33:00,2026-01-07,4.882,4.878,1348600,6582900,0.03799999999999937,0.7844756399669562
64,510300,2026-01-07 10:34:00,2026-01-07,4.885,4.878,2071400,10116400,0.04099999999999948,0.846407927332772
65,510300,2026-01-07 10:35:00,2026-01-07,4.883,4.878,3058300,14936200,0.0389999999999997,0.8051197357555677
66,510300,2026-01-07 10:36:00,2026-01-07,4.878,4.878,3116800,15210200,0.03399999999999981,0.7018992568125476
67,510300,2026-01-07 10:37:00,2026-01-07,4.874,4.878,3777000,18418800,0.02999999999999936,0.6193228736581206
68,510300,2026-01-07 10:38:00,2026-01-07,4.870,4.878,5203900,25351800,0.0259999999999998,0.5367464905037118
69,510300,2026-01-07 10:39:00,2026-01-07,4.867,4.878,3611500,17573700,0.022999999999999687,0.4748142031378961
70,510300,2026-01-07 10:40:00,2026-01-07,4.866,4.878,5388600,26220100,0.021999999999999353,0.45417010734928476
71,510300,2026-01-07 10:41:00,2026-01-07,4.870,4.878,4122900,20064800,0.0259999999999998,0.5367464905037118
72,510300,2026-01-07 10:42:00,2026-01-07,4.872,4.878,3049900,14851600,0.02799999999999958,0.5780346820809161
73,510300,2026-01-07 10:43:00,2026-01-07,4.866,4.878,2756600,13421700,0.021999999999999353,0.45417010734928476
74,510300,2026-01-07 10:44:00,2026-01-07,4.867,4.878,1937500,9429100,0.022999999999999687,0.4748142031378961
75,510300,2026-01-07 10:45:00,2026-01-07,4.868,4.878,3372800,16418200,0.02400000000000002,0.49545829892650745
76,510300,2026-01-07 10:46:00,2026-01-07,4.867,4.878,2137800,10405600,0.022999999999999687,0.4748142031378961
77,510300,2026-01-07 10:47:00,2026-01-07,4.871,4.877,5665050,27582200,0.027000000000000135,0.5573905862923232
78,510300,2026-01-07 10:48:00,2026-01-07,4.874,4.877,2309990,11255600,0.02999999999999936,0.6193228736581206
79,510300,2026-01-07 10:49:00,2026-01-07,4.877,4.877,1562200,7616100,0.032999999999999474,0.6812551610239362
80,510300,2026-01-07 10:50:00,2026-01-07,4.881,4.877,2540800,12398300,0.03699999999999992,0.7638315441783634
81,510300,2026-01-07 10:51:00,2026-01-07,4.881,4.877,2713000,13241200,0.03699999999999992,0.7638315441783634
82,510300,2026-01-07 10:52:00,2026-01-07,4.883,4.878,5153400,25168900,0.0389999999999997,0.8051197357555677
83,510300,2026-01-07 10:53:00,2026-01-07,4.883,4.878,4626300,22596400,0.0389999999999997,0.8051197357555677
84,510300,2026-01-07 10:54:00,2026-01-07,4.885,4.878,5104100,24933600,0.04099999999999948,0.846407927332772
85,510300,2026-01-07 10:55:00,2026-01-07,4.886,4.878,1963200,9590600,0.041999999999999815,0.8670520231213834
86,510300,2026-01-07 10:56:00,2026-01-07,4.886,4.878,1573500,7688100,0.041999999999999815,0.8670520231213834
87,510300,2026-01-07 10:57:00,2026-01-07,4.889,4.878,3302300,16139200,0.04499999999999993,0.9289843104871992
88,510300,2026-01-07 10:58:00,2026-01-07,4.891,4.878,4852700,23729200,0.04699999999999971,0.9702725020644035
89,510300,2026-01-07 10:59:00,2026-01-07,4.889,4.878,1628500,7963900,0.04499999999999993,0.9289843104871992
90,510300,2026-01-07 11:00:00,2026-01-07,4.890,4.878,2631000,12865700,0.045999999999999375,0.9496284062757921
91,510300,2026-01-07 11:01:00,2026-01-07,4.892,4.878,3037010,14850500,0.04800000000000004,0.9909165978530149
92,510300,2026-01-07 11:02:00,2026-01-07,4.891,4.878,1525700,7460400,0.04699999999999971,0.9702725020644035
93,510300,2026-01-07 11:03:00,2026-01-07,4.890,4.878,1328200,6495000,0.045999999999999375,0.9496284062757921
94,510300,2026-01-07 11:04:00,2026-01-07,4.889,4.878,1401800,6853900,0.04499999999999993,0.9289843104871992
95,510300,2026-01-07 11:05:00,2026-01-07,4.887,4.878,1225000,5986900,0.04299999999999926,0.8876961189099765
96,510300,2026-01-07 11:06:00,2026-01-07,4.886,4.878,1154300,5640300,0.041999999999999815,0.8670520231213834
97,510300,2026-01-07 11:07:00,2026-01-07,4.887,4.878,1762200,8612600,0.04299999999999926,0.8876961189099765
98,510300,2026-01-07 11:08:00,2026-01-07,4.887,4.878,1585800,7750800,0.04299999999999926,0.8876961189099765
99,510300,2026-01-07 11:09:00,2026-01-07,4.887,4.878,837500,4092900,0.04299999999999926,0.8876961189099765
100,510300,2026-01-07 11:10:00,2026-01-07,4.888,4.878,1450200,7089700,0.043999999999999595,0.9083402146985877
101,510300,2026-01-07 11:11:00,2026-01-07,4.888,4.878,905600,4426700,0.043999999999999595,0.9083402146985877
102,510300,2026-01-07 11:12:00,2026-01-07,4.888,4.878,690800,3377300,0.043999999999999595,0.9083402146985877
103,510300,2026-01-07 11:13:00,2026-01-07,4.891,4.878,5540000,27096700,0.04699999999999971,0.9702725020644035
104,510300,2026-01-07 11:14:00,2026-01-07,4.896,4.878,8617000,42168900,0.0519999999999996,1.0734929810074236
105,510300,2026-01-07 11:15:00,2026-01-07,4.901,4.879,16457900,80625600,0.056999999999999496,1.1767134599504436
106,510300,2026-01-07 11:16:00,2026-01-07,4.900,4.879,4378900,21455700,0.05600000000000005,1.1560693641618507
107,510300,2026-01-07 11:17:00,2026-01-07,4.898,4.879,1925200,9430900,0.05399999999999938,1.114781172584628
108,510300,2026-01-07 11:18:00,2026-01-07,4.893,4.879,1306800,6398200,0.04899999999999949,1.011560693641608
109,510300,2026-01-07 11:19:00,2026-01-07,4.898,4.879,1172700,5741500,0.05399999999999938,1.114781172584628
110,510300,2026-01-07 11:20:00,2026-01-07,4.901,4.879,5871700,28762300,0.056999999999999496,1.1767134599504436
111,510300,2026-01-07 11:21:00,2026-01-07,4.899,4.879,2231600,10930300,0.054999999999999716,1.1354252683732393
112,510300,2026-01-07 11:22:00,2026-01-07,4.899,4.879,1383500,6777900,0.054999999999999716,1.1354252683732393
113,510300,2026-01-07 11:23:00,2026-01-07,4.898,4.879,1087000,5323500,0.05399999999999938,1.114781172584628
114,510300,2026-01-07 11:24:00,2026-01-07,4.896,4.879,1784600,8738900,0.0519999999999996,1.0734929810074236
115,510300,2026-01-07 11:25:00,2026-01-07,4.899,4.879,1430590,7006200,0.054999999999999716,1.1354252683732393
116,510300,2026-01-07 11:26:00,2026-01-07,4.898,4.879,747000,3659500,0.05399999999999938,1.114781172584628
117,510300,2026-01-07 11:27:00,2026-01-07,4.895,4.879,1762600,8631200,0.05099999999999927,1.0528488852188123
118,510300,2026-01-07 11:28:00,2026-01-07,4.898,4.880,932000,4563300,0.05399999999999938,1.114781172584628
119,510300,2026-01-07 11:29:00,2026-01-07,4.900,4.880,1793130,8784200,0.05600000000000005,1.1560693641618507
